player_name,player_type,match_format,avg,sr,last5_runs,high_score,wickets,econ,bowl_avg,catches,stumpings,matches,runs,total_balls_faced,balls_per_innings,score,cluster,levels,percent,percentile_score
A Ahmadhel,Batsman,T20,2.0,33.33333333333333,8.0,4.0,1.0,6.0,1.5,1.0,0.0,4.0,8.0,24.0,6.0,7.795555555555554,1,0,7.795555555555554,18.327974276527332
A Alexander,Batsman,T20,7.142857142857143,151.5151515151515,5.0,30.0,8.0,3.605,3.28125,8.0,0.0,16.0,50.0,33.0,4.714285714285714,32.41443001443001,2,1,32.41443001443001,58.24529168580616
A Amado,Batsman,T20,9.5,67.85714285714286,19.0,16.0,1.0,10.0,4.0,2.0,0.0,2.0,19.0,28.0,14.0,20.22952380952381,1,0,20.22952380952381,36.655948553054664
A Andrews,Bowler,T20,4.0,66.66666666666666,4.0,4.0,1.0,4.443333333333333,4.0,3.0,0.0,3.0,4.0,6.0,6.0,46.269999999999996,1,0,46.269999999999996,45.50561797752809
A Ashok,Bowler,ODI,10.0,83.33333333333334,10.0,10.0,2.0,9.156666666666668,39.333333333333336,1.0,0.0,3.0,10.0,12.0,12.0,12.929999999999994,1,0,12.929999999999994,1.6736401673640167
A Ashok,Bowler,T20,0.0,0.0,0.0,0.0,1.0,7.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,24.2,1,0,24.2,6.128702757916241
A Ashokan,Bowler,T20,26.666666666666668,112.14953271028037,99.0,55.0,10.0,5.785263157894737,3.798421052631579,7.0,0.0,19.0,480.0,428.0,23.77777777777778,60.36515789473684,2,1,60.36515789473684,65.27068437180796
A Athanaze,Batsman,ODI,23.823529411764707,77.14285714285715,106.0,66.0,4.0,1.0405882352941176,1.5,7.0,0.0,17.0,405.0,525.0,30.88235294117647,41.61949579831933,2,1,41.61949579831933,66.58653846153845
A Athanaze,Batsman,T20,23.285714285714285,129.36507936507937,102.0,60.0,0.0,1.1428571428571428,0.0,3.0,0.0,14.0,326.0,252.0,18.0,49.244656084656086,2,1,49.244656084656086,87.18419843821773
A Athanaze,Batsman,Test,45.94117647058823,52.34584450402144,160.0,132.0,1.0,0.7711764705882354,3.1176470588235294,14.0,0.0,17.0,781.0,1492.0,87.76470588235294,60.95175839772905,0,2,60.95175839772905,62.98701298701299
A Augastin,Wicketkeeper,T20,18.88888888888889,106.25,41.0,61.0,4.0,4.625,4.25,5.0,1.0,10.0,170.0,160.0,17.77777777777778,40.2037037037037,2,1,40.2037037037037,42.295081967213115
A Awasthi,Batsman,T20,2.0,20.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,30.0,10.0,5.346666666666667,1,0,5.346666666666667,15.617822691777675
A Bagai,Wicketkeeper,ODI,25.583333333333332,63.23377960865088,190.0,87.0,0.0,0.0,0.0,29.0,5.0,26.0,614.0,971.0,40.458333333333336,53.77417324636686,0,2,53.77417324636686,57.48031496062992
A Bagai,Wicketkeeper,T20,41.25,107.14285714285714,165.0,67.0,0.0,0.0,0.0,3.0,3.0,4.0,165.0,154.0,38.5,55.30952380952381,0,2,55.30952380952381,71.80327868852459
A Balbirnie,Batsman,ODI,31.662650602409638,75.36564381990249,190.0,135.0,1.0,0.09226190476190477,0.36904761904761907,32.0,0.0,84.0,2628.0,3487.0,42.01204819277108,57.86937437159017,0,2,57.86937437159017,90.26442307692307
A Balbirnie,Batsman,T20,22.786516853932586,122.61185006045949,83.0,83.0,0.0,0.0,0.0,32.0,0.0,89.0,2028.0,1654.0,18.584269662921347,47.799652912698306,2,1,47.799652912698306,85.43867707854847
A Balbirnie,Batsman,Test,40.2,49.20440636474908,172.0,141.0,0.0,0.0,0.0,10.0,0.0,10.0,402.0,817.0,81.7,58.160734394124844,0,2,58.160734394124844,60.82251082251082
A Beresford-Peirse,Bowler,T20,15.6,75.0,78.0,35.0,3.0,8.25,9.6,1.0,0.0,5.0,78.0,104.0,20.8,35.489999999999995,2,1,35.489999999999995,22.880490296220636
